text;emotion
Thank you MarieMacklin for a  passionate  referendum discussion today. Loved your intro - very inspiring;fear
"O/H Scottish  referendum discussion in DC: it'll mean another centre-Left country...& more Keynesian economics""""";fear
Can we have a vote after to see if we want Scotland to be part of us?  referendum  YesScotland;fear
 remotecontrol  referendum  roulette pick a tv channel at  random and see if you can avoid  ScottishReferendum talk! My new game!;fear
Many  Scots are uninspired by the Union.  Scotland  referendum has become a wake up call for politicians to improve  UK governance model;sadness
Seen this on Facebook had to steal it... It's a joke but it's exactly what that idiot is thinking  referendum pic.twitter.com/XINiAUhW8q;anger
SkyNews  referendum Bored of the Scots and their whinge! Let them go already. We'll send food stamps.  Scotland  Scottish  ScotlandDecides;fear
"We say YES to NO - let the scottish people free"" -  Scottland  UK  referendum""";fear
Hope Scotland votes yes just to sicken David Cameron  referendum  scotland;fear
Opinions of pro-union Scottish people today on the independence  referendum:  ScotlandDecides  Scotland;anger
 Referendum  Scozia, gli eventi reali o simbolici legati a questo appuntamento politico - il post di andreavaldambri;fear
Buying buckfast in euros. Everyday will be like a holiday. Vote YES!  ScotlandDecides  referendum  pettynationalism;fear
Very good opinion article in today's Times written by John Major on the  indyref /  referendum. A persuasive argument, a reason to vote 'no';fear
Westminster elite tell Scottish people that it will be a disaster to vote yes, but their deeply unpopular policies led to this  referendum;fear
"guardian GdnPolitics also, the new McJerusalem?!"" That... Is really bad if not plain discriminatory.  referendum""";fear
Latest poll no is 53% and yes 47%  referendum;fear
Watching and waiting with bated breath for the Scottish referendum. Latest polls showing Yes and No are neck to neck!  Referendum;fear
Really looking forward to this debate tomorrow  referendum  VoteYes  VoteNo;fear
 true  unionism  ireland  frankieboyle  bettertogether  independence  referendum  scotland  vote  YES pic.twitter.com/rntfhNQgqH;fear
" referendum on independence - the easiest thing in life is to go it alone; the most rewarding thing is to make it together.";joy
"And the youth can vote now, it's ridiculous"" wow it's not as if this youth will be running the country or anything..  referendum""";fear
BBCRadio4 If the Scots vote yes will we have shorter weather forecasts?  referendum;fear
Standard Life: ‘we have plans to go in case of yes vote’  Salmond: ‘no they dont’! That is how to win argument, arrogance!  referendum;fear
 UK  Cameron threatens  Scotland ahead of vote.  fearmongering  referendum  YESSCOT | scoopit;fear
When will they get it?  Scotland  referendum is about respect, equality and fairness. I don't think  independence necessary to achieve this.;anger
My dad is hilarious lol  genius  referendum  voteyes  scotland;joy
Yes or No? Scots in the South tell us how they think the  referendum vote will go. freddinenageITV SimonParkinITV and me - see u at 6;fear
Well done SkyNews this is hilarious! …  scottishindependence  referendum;joy
 scotland  referendum Scotland hold fire for now, with so much uncertainty and unknowns. Best wait, plan & hold another refi in near future.;anger
"Cameron: això no són eleccions generals on voleu fora aquests conservadors,això és una decisió q marcarà els pròxims 100 anys"".  referèndum""";fear
"These Scottish nationalists sound stupid. Let's separate! But let's keep every benefit of the union  pointless  referendum  Scotland""";anger
 Scotland  Independence  Referendum - five things everyone thinks but nobody's says via forbes  economics  politics;anger
narrow victory at the  Scotland  referendum should not be seen as a victory.This is a too big matter to be decided by 1% or less majority;anger
2/2 Quan serveixin per fer el  Referèndum i  Desobeïm us les faciltaré ràpidament, perquè el  9n2014  SiSi q serà l'hora assemblea omnium;anger
SPagliari and the  catalona  referendum on 9 November is much more bitter as it is not authorised by the Spanish gov.;anger
Glowing piece on Alex Salmond on front page of Wall Street Journal  referendum pic.twitter.com/S5H2dzauRl;fear
Big problem for pro-Unioners in Scottish  referendum is it's Yes for indep. As with NI 1998, No vote feels negative pic.twitter.com/VrA0utgP8t;fear
joeyjonessky If you want a No vote why on earth would you send 3 English posh boys to Scotland?  Scotland  Referendum;fear
