text;emotion
 brexit Money leaving pound for other currencies pre brexit. Watch it all come back after we leave the EU. RT;joy
Oh no they haven't - unless of course you're an elitist or corporatist who's able to live in an ivory tower.  Brexit!;joy
Which is great they love the UK too a pity a lot of our MP's and current PM don't feel the same way.  Brexit;joy
You can trust some more than others.  Brexit;joy
so liker i said  MEPs serve no apparent purpose to any great degree!  Brexit;joy
How about we just  Brexit so much better all round;joy
I  believe in the people of the  UK with all my heart & soul & I  believe we will make a great success of  Brexit! …;joy
"Or watch the things you gave your life to, broken, And stoop and build 'em up with worn-out tools:  If  RudyardKipling  Brexit""";joy
(xero blog) Everyone is waiting to see what happens with the Brexit vote this week. In the ...  XERO  ACCOUNTING;joy
"Lief belt: How was your night?"" ""Van Brexit debat naar voetbal gezapt en 'n Euro16 Excelleke gemaakt."" ""I'm in love with a crazy person.""""";joy
 Teasing pour tout savoir sur le référendum  Brexit  Bremain, je conseille l'émission de Demorand sur franceinter ce jeudi 23 de 18 à 20h..;joy
Conservative Civil War 2016! Choose your side on June 23...  Brexit or  Bremain  EUreferendum;joy
Looking to a bright future with pride and confidence in the people of Great Britain after Brexit. We the people make the Great in Britain;joy
. bbrennan83 tilstonlunel indeed it was bright, Europarl_EN banned those colors years ago, it tasted excellent thought  Brexit  Cakexit;joy
 Brexit and we all know David Beckham suffers a daily commute and is very bright;joy
MikkiL Remain and Bright, that's a laugh.  Brexit;joy
donnaariner The debate was unfair, DC should not have been able to hear NF. He continued to bring up NFs comments  Brexit;joy
uk5am jeremycorbyn Pity Labour party left the working class behind a long time ago, really glad I left them for  UKIP  Brexit;joy
On the 24th we will act as the 'right hand marker' and everyone will follow our lead.  Brexit the way to freedom and a better life.;joy
It makes me wonder how they can judge those they know little about.  Brexit;joy
What a lush day! Better get my ass to London. totally had enough of this  Brexit lark :(;joy
ever time I hear her voice makes me want to vomit. She's clueless. Then again she's a jock  Brexit;joy
New and better DEAL for Scots after BREXIT...it makes sense Mrs Prime Minister …;joy
After BREXIT I will never watch BBC again...they are not NEUTRAL...just a bunch of overpaid public schoolboy scum …;joy
Scotland +Wales PLEASE come with BREXIT for a better life +more Independence for your countries..a new era dawns! …;joy
Most media happy to go along with false benefit stories because they didn't affect them or their friends-However  Brexit does;joy
Much said about the pound following  brexit but little said about the euro which would surely be heavily impacted;joy
People are actually starting to laugh at the brexit panel in the crowd using the same slogans over and over, this is hilarious  BBCDebate;joy
Great Britain, for yourselves & the rest of Europe, vote EXIT  brexit;joy
Remember, everybody,  Friday is a good day to quit! Be a quitter! Give up that disgusting habit!  EU  Brexit pic.twitter.com/XEvMXAvymS;joy
Happy birthday. A wonderful lady, Queen of a proud nation with a proud history and, I hope, a proud future.  Brexit pic.twitter.com/mLr8l0rP1b;joy
