text;emotion
When are you going to start telling the truth for a change? That would be a nice change too.  Brexit;fear
StrongerInPress No you won't - you will be talking down our economy & trying to scare people - as usual! Come on  Brexit!;fear
StrongerIn Why aren't you tweeting about how great George Osborne is doing? Talk about a car crash interview!  Brexit!;fear
All the pro-EU ex PM's in a panic to protect their fortunes after the Osborne train wreck car crash interview - spreading more fear!  Brexit;fear
Another blatant fear mongering lie! You can stop scaring people we've had enough of your deceit thanks, I'm voting  Brexit;fear
He is an elite, what do you think he would do? Support his country by  Brexit?  Corporatistelite!;fear
Don't worry we won't be back!  Brexit …;fear
GiselaStuart Excellent points from start to finish on  ITVEURef well done!  VoteLeave  Brexit  TakeBackControl;fear
Remember this dear friends, when you cast your vote for  Brexit you are not only  TakingBackControl of the  UK you will be liberating europe;fear
So  SamCam is IN for her kids is she? With all her & paters £'s i don't think they need worry but I'm  OUT for  WorkingClass kids  Brexit;fear
Here's your  Kinnocks for a start!  Parasites …  Brexit;fear
LeaveEUOfficial I think  DonaldTusk meant to say that a vote for  Brexit would destroy Western Politicians but heyho out we go;fear
Our Daily Brexit: Don’t worry if the economy collapses, Boris will say sorry! .V2lcdpnz5nk.twitter …;fear
London's powerful financial hub: EU exit would be nightmare: … (from AP)  Brexit  EURefReadypic.twitter.com/57uu41iWfy;fear
 Why is this knob on  itv news talking to me like I'm 5 years old  Brexit;fear
Canadian Brexit impact part fear, part reality: Don Pittis - At first glance it seems crazy that Canadian marke...;fear
‘Leave’ Takes Shocking 19-Point Lead In  Brexit Poll – “If It Happens, Gold Will Be The World’s Strongest Currency” …;fear
Those with fear are the ones that lose.  brexit the decision for real men;fear
We certainly know what it is like in the corrupt EU with their unelected leaders and we want OUT.  Brexit;fear
I do fear that the counting of the EU ref votes will turn the tables on  Brexit I just do not trust Cam and Co;fear
huh? its all scare tactics from the  brexit side who are loud. the educated will vote  bremain;fear
Hold your tongues: why language learners fear a vote for Brexit: …;fear
If only it had been a legitimate concern for the last few Governments then we wouldn't even be close to a  Brexit!;fear
 Brexit Last night's debate Bojo said 5 times UK pays to EU 350 mil.p.w Blatant lies BBC Reality check confirmed UK pays 161 mil.p.w. only;fear
Why is the only issue the Remain side talk about is immigration? Have they got nothing else to scare the nation with?  Brexit;fear
The single most shocking thing about this debate is David Dimblebys tie!!  Brexit  BBCDebate;fear
Remember-Accurate stats are important to the Tories when it comes to  Brexit but not when they concern the poor and food banks;fear
Last night I saw our glorious leader saying saying state pensions would be at risk with  Brexit. Now its bus passes. What next, allotments?;fear
Brexit would mean higher food prices, warn former retail bosses - BBC News | scoopit ecbusteach …  Brexit  prices  inflation;fear
Are you voting for  Brexit and feeling frustrated at the lies being told by the gov? Just remember them when Scotland goes for  IndyRef2;fear
The scare mongering continues - VOTE LEAVE  Brexit;fear
fucking kicking and was caught on tape? You wanna see a bully try furher Johnson in Nazi Britain if brexit win 2;fear
The whole  Brexit thing is kinda annoying... this is an argument without facts with a lot of scare tactics and a lot of talk hmm talk sense!;fear
DTguardian how would a brexit yes vote affect European players coming to the Premiership? Would they all need a work permit?  Brexit;fear
Nice: Boris Johnson compares a future UK post-Brexit, trading with the EU, to China and India. Now, who wants that then?  BBCDebate;fear
Good to see  Bremain arguments on  BBCQT hope rather than fear-based and around managing big issues including climate change;fear
Works much better than pushing fear - Europeans launch 'Hug a Brit' campaign …  Bremain;fear
It's been fun to watch the  Brexit referendum panic stakeholders in maintaining the status quo. Sweat, rats.;fear
Why are people afraid of taking back control? Plenty of scaremongering yet again from the remainers Vote leave  Brexit  EUrefNW;fear
No it's a simple question. Don't be afraid!  Brexit;fear
Scare story based on a damaged/shrinking economy following  Brexit is utter nonsense;fear
After watching Morgan bully that MP I am going to vote  Brexit What a terrible interview. Will now watch sky news in the mornings.  Brexit;fear
Why Brexit vote should worry Donald Trump;fear
yea yea whatever, & if we leave we will suddenly have to start paying for the air we breathe too.  liar  scaremonger  Brexit;fear
