text;emotion
vote_leave  Brexit I choose the street party! :-) pic.twitter.com/vNiALhNLxc;fear
Assange on  Brexit, HillaryClinton and realDonaldTrump … via wikileaks;fear
 brexit pollution won't increae much if we leave the EU, unless they can stop air crossing borders.;fear
I think you find that he said it was anyone with any ailment looking for a free ride on the NHS -  VoteLeave  Brexit;fear
Once we play the  Brexit card we will be powerless to determine an exit deal - which would impact us for generations;fear
Osborne admits he has NO PLAN for Brexit despite scaremongering;fear
Sutton Coldfield town hall this Saturday here I come! Nigel_Farage  Brexit!;fear
Just let that statement sink in for a moment, please.  Brexit;fear
I wonder how long it will take guardian to realise the reason their readership it tanking is because they backed the wrong side?  Brexit!;anger
strongerinpress So why is it that the main beneficiaries of a  Brexit, the SME's are all starting to employ more staff?;fear
To be honest, if I had to have a seat at that table, I would rather be sitting on the naughty step anyway.  Brexit!;fear
Isn't it about time that we genuinely let the people decide what we want as a nation, I just want a  Brexit!;sadness
There will be no repercussions from the EU! Simple as  Brexit!;fear
strongerinpress Have you noticed how your online support keeps getting smaller with each tweet you send out?  Brexit!;fear
More online followers lost, are you even trying to put forward anything positive, or just promoting  projectfear.  Brexit!;fear
Because the remain campaign are trying every single dirty tactic in their book!  Brexit.;fear
leaveeuofficial Is Faisal Islam now realising what a mistake he made with his inquistion of Gove as support for  Brexit soars?;anger
strongerinpress Haven't you been able to come up with a different story yet, talk about old news -  Brexit!;fear
strongerinpress Stop talking Great Britain down we're a Great Nation and won't just survive being out of EU but thrive!  Brexit;fear
That's rich, given all the lies you have spread over the referendum! Are the turkies coming home to roost now?  Brexit!;anger
Now we know how they funded the remain campaign. LOL  Brexit!;fear
"Will you please stop begging for us to stay it's getting embarrassing reading your inept arguments"" for remaining.  Brexit""";fear
StrongerIn Why aren't you tweeting about how great George Osborne is doing? Talk about a car crash interview!  Brexit!;fear
Has anyone else noticed how many Midlands SME's are currently recruiting? It's incredible there are just so many!  Brexit;fear
Labour is becoming as publicly divided as the Tories are over the EU, a great  Brexit bonus, when will Corbyn decide to vote to leave?;fear
When's Angela Eagle going to live up to her supposed beliefs & come out for a  Brexit, instead of portraying herself as a corporatist elite?;fear
That's true, Iceland is just one of many reasons why we will be better off as a nation when we leave the EU.  Brexit;fear
He is an elite, what do you think he would do? Support his country by  Brexit?  Corporatistelite!;fear
Yes there will be, stop lying! All the remainiacs want one too. That is why we must vote for a  Brexit!;fear
Absolutely, and we the people will all be voting along with Nigel_Farage for a  Brexit;anger
Whether we leave or stay, it will not be the status quo, that is  ProjectFear talking! I want a  Brexit;anger
Not unless you enjoy getting burned anyway.  Brexit;sadness
Even more reason for a  Brexit I'd say.;fear
They have completely lost the plot!  Brexit;anger
All I can tweet then is fuck the EU! Freedom of speech is non-negotiable -  Brexit;fear
Will you please stop tweeting about Europe instead of the EU in your blatant attempt to mislead people, thanks  Brexit;joy
Another positive reason for me to leave: An annual saving of £145.50 by no longer renewing my TV licence fee.  Brexit;fear
And that is exactly what we want.  Brexit;fear
MargotLJParker Telegraph Oh no we won't!  Brexit!;sadness
"paulrey99 Heseltine is not called the Great Tit"" for nothing! Just gave Cameron the bird!  Brexit""";fear
Why would anyone except a lunatic want to remain in the EU basket case?  Brexit;fear
MikkiL Who says that TTIP is not going to work!  Brexit;anger
StrongerInPress No they don't I run a small business and I am for Brexit, nobody asked me, so you are lying!;fear
TTIP will destroy the NHS, you imbeciles!  Brexit;fear
StrongerIn RuthDavidsonMSP BorisJohnson Has just won the debate for  Brexit!;fear
Liz Hurley weaves together a position on energy efficiency,  Brexit and screw-in bayonets. pic.twitter.com/8R50mPfBMI;fear
 news Posh and Becks on Brexit ...:;fear
Status Quo - The current mess we are in  Brexit  VoteLeave;fear
 brexit  VoteLeave …;fear
NoThanksEU Just shows how deluded remainers are  Brexit …;fear
Never balanced the books ever  Brexit  voteleave …;fear
IsabelHardman  skypapers Leave likely to win 55-45. Brits don't like being told what to do especially by experts  VoteLeave  Brexit;fear
Hotel California.....it will certainly be interesting!  Brexit  VoteLeave  HotelCalifornia …;fear
If you seriously want to  SaveTheNHS then vote  Brexit - it is the only way to guarantee we won't have  TTIP;fear
for renegotiation we need to have the starting point that we aren't paying them a single red cent more  Brexit;anger
 RollsRoyce cars, a beacon of  British ingenuity, manufacture car bodies in Germany. Why not  UK if  EU is so good for the  UK?  Brexit;fear
So no other  UK party has had MEPs on the fiddle? Perhaps you should look a little harder!  Brexit;fear
during  EU campaign you've proved beyond any shadow of doubt that you're irrelevant to the  WorkingClass people of the  UK  Brexit;anger
More proof of the  EU contempt for  British  democracy  Brexit;fear
I think what the public are witnessing for themselves is that  Remain the sheer contempt for  UK voters!  ITVEURef  Brexit;fear
Hi remember us at all? You know, the people who pay you're wages! No, thought not!  Brexit  TakeBackControl;fear
GiselaStuart Excellent points from start to finish on  ITVEURef well done!  VoteLeave  Brexit  TakeBackControl;fear
UKLabourIN lol Masterstroke putting  eddieIzzard on  bbcqt - millions more will vote for  Brexit now  VoteLeave;sadness
